button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,left,1,4.4028,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,left,0,1.6147,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,right,0,1.6788,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,right,0,1.4775,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,left,0,0.974,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,right,0,0.9293,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,space,2.2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2898618444-142233.jpg,2898631359-142721.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2868475410-213219.jpg,2238480803-19739.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2898618390-216538.jpg,2901939327-367670.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2592379964-131054.jpg,2592380272-354673.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2981231403-71642.jpg,2427873763-47290.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2901941401-292798.jpg,2981243412-370222.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2449442529-124446.jpg,2446759803-49251.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2964213381-294060.jpg,2981244394-145974.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,8,8,8,1,right.jpg,,,right,0.6504,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,2874301407-363895.jpg,2446761374-124213.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,2874303365-214262.jpg,2238563377-332054.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,2964216465-219242.jpg,2238544191-252422.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,12,12,1,2964223381-294447.jpg,2901941438-69836.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,2238572663-35822.jpg,2238571930-184143.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,2964222378-71332.jpg,2981240427-370099.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,2883256307-365057.jpg,2864904453-63933.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,2238580740-186218.jpg,2238521193-26285.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,2874302418-65978.jpg,2964224310-219528.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,2460547467-349421.jpg,2452380166-273110.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,2883268471-290842.jpg,2901947448-70314.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,2898635428-69104.jpg,2898625336-291572.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,2874299429-139695.jpg,2446760917-347439.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,22,22,22,1,right.jpg,,,right,1.0013,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23,23,23,1,2238425482-313537.jpg,2238436322-314047.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,24,24,1,2575120738-55529.jpg,2864906345-212360.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,2592380177-354626.jpg,2238576792-334659.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,2460547467-349422.jpg,2868487415-213924.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,2964218374-144967.jpg,2964218374-144968.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,2864907432-362042.jpg,2989726338-74002.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,2874299429-139694.jpg,2883266367-365742.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,30,30,30,1,right.jpg,,,right,1.2263,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,31,31,1,2458347385-199723.jpg,2458347252-348911.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,32,32,1,2981241414-145842.jpg,2238516618-25604.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,33,33,33,1,2512875899-126682.jpg,2592380177-354628.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,34,34,1,2901939379-143479.jpg,2964216376-294181.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,35,35,35,1,2883268412-365898.jpg,2984615361-295510.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,36,36,36,1,2901947423-70311.jpg,2860312398-62572.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,37,37,37,1,2986451363-73598.jpg,2901942443-69925.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,38,38,38,1,2901952513-70703.jpg,2238481198-19821.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,39,39,1,2449442529-124445.jpg,2452380171-273112.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,40,40,40,1,2898633421-291973.jpg,2575118671-277663.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,41,41,41,1,2898635427-367120.jpg,2964221435-219434.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,42,42,1,2238481928-19949.jpg,2864900357-361688.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43,43,43,1,right.jpg,,,right,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,44,44,44,1,2452380832-348593.jpg,2238328478-11678.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,45,45,45,1,2898624426-291546.jpg,2981235446-294900.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,46,46,46,1,left.jpg,,,left,1.6831,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,47,47,47,1,2592380177-354629.jpg,2579432534-130704.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,48,48,48,1,2238560245-182099.jpg,2592380255-205553.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,49,49,49,1,2460547508-51571.jpg,2901941438-69835.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,50,50,50,1,2898617468-68274.jpg,2964207374-144577.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,51,51,51,1,2986451363-73599.jpg,2898626385-216899.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,52,52,52,1,2874302418-65979.jpg,2237857458-1325.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,53,53,53,1,2874307433-66280.jpg,2981246400-220365.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,54,54,54,1,2446758985-197609.jpg,2864909447-362144.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,55,55,55,1,2238480677-317399.jpg,2238480278-19661.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,56,56,56,1,2452381505-199546.jpg,2901938432-367627.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,57,57,57,1,2898634397-367080.jpg,2964217461-294238.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,58,58,58,1,2864910426-287204.jpg,2901939433-69672.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,59,59,59,1,2868474407-362883.jpg,2981246400-220363.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,60,60,60,1,2883273443-68193.jpg,2883254439-140940.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,61,61,61,1,2238481198-19822.jpg,2901946436-293242.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,62,62,62,1,2446759803-49249.jpg,2901951392-368654.jpg,3,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,63,63,63,1,2901939379-143480.jpg,2901942428-69919.jpg,1,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,1,0,64,64,64,1,2238428357-313623.jpg,2984615361-295509.jpg,2,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3319,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,1.5247,0,0,0,0,1,2898635427-367120.jpg,2964221435-219434.jpg,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,left,1,0.6623,0,1,1,1,1,2986451363-73599.jpg,2898626385-216899.jpg,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,right,0,0.9047,0,2,2,2,1,2874299429-139695.jpg,2446760917-347439.jpg,,
,,,A1QUBLZCONL4QD,44,male,8,2022-10-02_09h00.13.650,memory_pilot_most_recent,2022.2.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,0.7318,0,3,3,3,1,2238328478-11678.jpg,2452380832-348593.jpg,,
