image1,image2,layer,correct
2864900357-361688.jpg,2874307433-66280.jpg,2,right
2427875694-122097.jpg,2592379964-131054.jpg,2,right
2901947423-70311.jpg,2860312398-62572.jpg,1,left
2238433340-164524.jpg,2898617468-68274.jpg,2,right
2238550816-254000.jpg,2238580740-186218.jpg,1,right
2964216465-219242.jpg,2238544191-252422.jpg,1,left
2452380832-348593.jpg,2238515978-25479.jpg,2,left
2898635428-69104.jpg,2446759803-49250.jpg,1,left
2238558380-181702.jpg,2868475410-213219.jpg,3,right
2898619327-366362.jpg,2460547467-349421.jpg,3,right
2238470808-18373.jpg,2874302418-65979.jpg,3,right
2847210303-60991.jpg,2592380177-354629.jpg,3,right
2901948350-218459.jpg,2898629328-68806.jpg,2,left
2989730319-147821.jpg,2898633421-291973.jpg,3,right
2238499057-320266.jpg,2238428357-313623.jpg,1,right
2981244394-145974.jpg,2964213381-294060.jpg,1,right
2874301407-363895.jpg,2989715317-371697.jpg,3,left
2609793677-355397.jpg,2874303365-214262.jpg,1,right
2864901420-212147.jpg,2864907432-362042.jpg,1,right
2804906319-133082.jpg,2898618444-142233.jpg,3,right
2964218373-71170.jpg,2901939379-143480.jpg,2,right
2238572663-35822.jpg,2984615361-295510.jpg,2,left
2452380171-273112.jpg,2449442529-124446.jpg,1,right
2981231403-71642.jpg,2274829821-263682.jpg,1,left
2898624426-291545.jpg,2898635427-367120.jpg,3,right
2901939379-143479.jpg,2901938398-69594.jpg,2,left
2592380177-354626.jpg,2579432708-56392.jpg,3,left
2864910426-287204.jpg,2864902304-137862.jpg,1,left
2460547467-349422.jpg,2989721311-296963.jpg,2,left
2862687418-62786.jpg,2883268412-365898.jpg,3,right
2898622392-366513.jpg,2452381505-199546.jpg,3,right
2964218374-144967.jpg,2446758985-197610.jpg,2,left
2238571930-184143.jpg,2874299429-139695.jpg,2,right
2868474407-362883.jpg,2898634332-367068.jpg,3,left
2901947448-70315.jpg,2883256307-365057.jpg,3,right
2901939327-367669.jpg,2986451363-73599.jpg,1,right
2901946413-70227.jpg,2575120738-55529.jpg,2,right
2964207374-144577.jpg,2898624426-291546.jpg,1,right
2446759803-49249.jpg,2238499155-170911.jpg,2,left
2874302418-65978.jpg,2898626385-216899.jpg,1,left
2238537701-251773.jpg,2901952513-70703.jpg,3,right
2964219379-144996.jpg,2883254439-140941.jpg,3,right
2898618390-216538.jpg,2238550049-105691.jpg,1,left
2964223381-294447.jpg,2427874231-269884.jpg,1,left
2864904415-212294.jpg,2446759347-347016.jpg,2,right
2898633480-217189.jpg,2460547508-51571.jpg,2,right
2446761173-49643.jpg,2238480677-317399.jpg,2,right
2238481928-19949.jpg,2864910427-362200.jpg,3,left
2446759306-271735.jpg,2898634397-367080.jpg,3,right
2238436632-314070.jpg,2458347385-199723.jpg,3,right
2901948476-293423.jpg,2449442529-124445.jpg,2,right
2883268471-290842.jpg,2898623398-68538.jpg,2,left
2981241414-145842.jpg,2868469411-287540.jpg,2,left
2238425482-313537.jpg,2981244403-72215.jpg,2,left
2238481198-19822.jpg,2864908448-64141.jpg,1,left
2512875899-126681.jpg,2512875899-126682.jpg,3,right
2883273443-68192.jpg,2901941401-292798.jpg,3,right
2981240424-145795.jpg,2446758985-197609.jpg,1,right
2238560245-182099.jpg,2549106624-127823.jpg,1,left
2449441881-272368.jpg,2984615361-295509.jpg,1,left
