button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2449442529-124445.jpg,2901946439-144040.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2238481198-19822.jpg,2864908448-64141.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,2238560245-182099.jpg,2901943480-218116.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,2981231403-71642.jpg,2238574878-36413.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,2883256307-365057.jpg,2901947448-70315.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,2238428357-313623.jpg,2984616310-220514.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,12,12,12,1,left.jpg,,,left,1.0025,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,2458347385-199723.jpg,2238436632-314070.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,2512875899-126682.jpg,2238547107-328393.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,2238481928-19949.jpg,2883264367-365620.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,2981241414-145842.jpg,2238427023-15948.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,2883254439-140941.jpg,2460548070-200336.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,18,18,18,1,right.jpg,,,right,0.991699999,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,2964223381-294447.jpg,2964217461-294238.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,2452380832-348593.jpg,2238328478-11678.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,2874303365-214262.jpg,2609793677-355397.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22,22,22,1,2986451363-73599.jpg,2898630381-291834.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23,23,23,1,2592380177-354626.jpg,2579432708-56392.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,24,24,1,2446758985-197609.jpg,2981240424-145795.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,2901952513-70703.jpg,2901949316-293454.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,2901948350-218459.jpg,2898629328-68806.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,2868475410-213219.jpg,2862700345-211776.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,2868474407-362883.jpg,2874305405-214397.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,2460547467-349422.jpg,2898635428-69106.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,30,30,30,1,2883268412-365898.jpg,2984615358-72439.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,31,31,1,2901939379-143480.jpg,2981229442-369621.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,32,32,1,2898634397-367080.jpg,2446759306-271735.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,33,33,33,1,left.jpg,,,left,0.995199999,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,34,34,1,2238580740-186218.jpg,2238550816-254000.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,35,35,35,1,2964216465-219242.jpg,2238544191-252422.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,36,36,36,1,2874299429-139695.jpg,2238571930-184143.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,37,37,37,1,2449442529-124446.jpg,2452380171-273112.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,0,0,38,38,38,1,right.jpg,,,right,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,39,39,1,2575120738-55529.jpg,2901946413-70227.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,40,40,40,1,2238572663-35822.jpg,2238375825-162206.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,41,41,41,1,2446759803-49249.jpg,2446760601-272099.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,42,42,1,2864910426-287204.jpg,2898632427-367006.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,43,43,43,1,2901947423-70311.jpg,2446759065-197639.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,44,44,44,1,2898618390-216538.jpg,2238550049-105691.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,45,45,45,1,2864907432-362042.jpg,2883264367-365621.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,46,46,46,1,2874301407-363895.jpg,2901949316-293452.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,47,47,47,1,2898633421-291973.jpg,2238580922-335631.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,48,48,48,1,2238480677-317399.jpg,2238481630-168218.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,49,49,49,1,2964213381-294060.jpg,2883254439-140940.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,50,50,50,1,2449441881-272368.jpg,2984615361-295509.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,51,51,51,1,left.jpg,,,left,1.107599998,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,52,52,52,1,2874307433-66280.jpg,2446759396-271761.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,53,53,53,1,2238425482-313537.jpg,2864901352-361731.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,54,54,54,1,2446759347-347016.jpg,2964224310-219528.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,55,55,55,1,2452381505-199546.jpg,2901938432-367627.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,56,56,56,1,2874302418-65978.jpg,2238567130-183315.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,57,57,57,1,2883268471-290842.jpg,2883268471-290843.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,58,58,58,1,2592380177-354629.jpg,2898633421-291974.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,59,59,59,1,2898618444-142233.jpg,2862691449-137104.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,60,60,60,1,2898617468-68274.jpg,2238433340-164524.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,61,61,61,1,2898635428-69104.jpg,2446759803-49250.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,62,62,62,1,2874302418-65979.jpg,2901939433-69673.jpg,2,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,63,63,63,1,2901941401-292798.jpg,2238577590-185467.jpg,1,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,1,0,64,64,64,1,2460547508-51571.jpg,2901941438-69836.jpg,3,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.2294,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,left,1,2.5904,0,0,0,0,1,2238481928-19949.jpg,2883264367-365620.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,right,,,,right,1,1.3786,0,1,1,1,1,2862700345-211776.jpg,2868475410-213219.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,right,,,,right,1,1.572199999,0,2,2,2,1,2460548070-200336.jpg,2883254439-140941.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,right,0,1.841200001,0,3,3,3,1,2458347385-199723.jpg,2238436632-314070.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,left,1,1.4285,0,4,4,4,1,2460547467-349422.jpg,2898635428-69106.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,left,0,1.5209,0,5,5,5,1,2981240424-145795.jpg,2446758985-197609.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,left,1,1.505199999,0,6,6,6,1,2883268471-290842.jpg,2883268471-290843.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,left,1,6.042099998,0,7,7,7,1,2898618444-142233.jpg,2862691449-137104.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.9136,0,8,8,8,1,2898617468-68274.jpg,2238433340-164524.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,left,1,10.2138,0,9,9,9,1,2901939379-143480.jpg,2981229442-369621.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,1.623199999,0,10,10,10,1,2964224310-219528.jpg,2446759347-347016.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,left,1,1.5014,0,11,11,11,1,2874302418-65978.jpg,2238567130-183315.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,10.8315,0,12,12,12,1,2238427023-15948.jpg,2981241414-145842.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,left,1,1.6145,0,13,13,13,1,2238560245-182099.jpg,2901943480-218116.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,1.834200001,0,14,14,14,1,2238550049-105691.jpg,2898618390-216538.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,left,0,15.6847,0,15,15,15,1,2883254439-140940.jpg,2964213381-294060.jpg,,
